"","RSD"
"X3.77_258.1295m.z",0.255184
"X3.77_298.1013m.z",0.090475
"X3.77_338.1635m.z",0.118028
"X3.77_394.1748m.z",0.133317
"X3.77_441.1497m.z",0.122501
"X3.77_478.1822m.z",0.109493
"X3.77_551.1931m.z",0.11171
"X3.77_606.1880m.z",0.194857
"X3.77_608.2933m.z",1.075566
"X3.77_647.3032m.z",0.472651
"X3.77_448.1956m.z",0.109071
"X3.82_163.0407m.z",0.195269
"X3.82_206.0830m.z",0.126262
"X3.82_231.5694m.z",0.220472
"X3.82_247.0560m.z",0.899121
"X3.82_264.1261m.z",0.355617
"X3.82_272.0732m.z",0.487643
"X3.82_328.1514n",0.17338
"X3.82_160.0768m.z",0.117182
"X3.82_324.1241m.z",0.090357
"X3.82_326.7104m.z",0.177855
"X3.82_335.2200m.z",0.118243
"X3.82_336.1472m.z",0.069991
"X3.82_344.1763n",0.359019
"X3.82_157.1004m.z",0.374918
"X3.81_109.1007m.z",0.07124
"X3.81_137.1325m.z",0.042389
"X3.81_141.5573m.z",0.367205
"X3.81_151.5641m.z",0.277594
"X3.81_241.1182m.z",0.086286
"X3.81_242.5787m.z",0.453262
"X3.82_130.0082m.z",0.052521
"X3.81_400.1578m.z",0.091141
"X3.81_459.2009m.z",0.14378
"X3.81_462.2319m.z",0.096482
"X3.81_503.1692m.z",0.161157
"X3.81_604.3303n",0.219061
"X3.81_626.2076m.z",0.128181
"X3.81_811.2321m.z",0.216711
"X4.18_495.1012m.z",0.074591
"X4.18_511.1516m.z",0.077664
"X4.18_525.1384m.z",0.067581
"X4.18_541.2576m.z",0.110089
"X4.18_616.2525m.z",0.203669
"X4.18_694.2320m.z",0.494141
"X4.18_712.2572m.z",0.242458
"X4.18_898.3589m.z",0.292552
"X4.18_903.3305m.z",0.391872
"X4.18_934.3004n",0.311801
"X4.20_240.0707m.z",0.136408
"X4.20_252.5865m.z",0.120355
"X4.20_260.5793m.z",0.098806
"X4.20_280.1299n",0.097022
"X4.20_291.1278m.z",0.491871
"X4.18_480.1384m.z",0.166524
"X4.18_479.1381m.z",0.173794
"X4.18_328.2108m.z",0.06018
"X4.16_586.2229m.z",0.230249
"X4.16_612.3686m.z",0.47163
"X4.16_641.3409n",0.087559
"X4.16_650.3731m.z",0.279166
"X4.16_664.3152m.z",0.128048
"X4.16_665.2612m.z",0.186311
"X4.16_696.2541m.z",0.29051
"X4.16_757.4001m.z",0.621179
"X4.16_889.3027m.z",0.356485
"X4.16_890.2933m.z",0.253565
"X4.16_891.3050m.z",0.3955
"X4.18_164.0398m.z",0.165378
"X4.18_215.0898m.z",0.183979
"X4.18_247.1331m.z",0.167456
"X4.18_254.0548n",0.229279
"X4.18_324.1091m.z",0.054537
"X4.16_550.1923m.z",0.301611
