Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
269.6443__148.8,64896.18141,103234.39859,14165.84272,0,45428.60458,52799.21059,42548.26753,56655.37827,169360.43704,114102.17724,0,27867.6363
269.6617__24.24,11482.7715,85815.6281,35929.78783,0,19587.13128,187037.97899,161190.70492,150438.44022,220991.54161,119765.22899,350312.14511,194955.47405
269.9946__116.81,9056981.93041,6432247.26634,6897319.29303,6744152.97295,7741179.08999,5439409.63825,2244568.04903,2817214.64549,3776522.56566,1987632.23888,4299379.46108,7157459.49161
270.0656__161.6,155306.92752,443083.65532,125072.036,11930.64266,88108.4342,37108.5274,526382.95446,3534374.28449,254993.74077,453301.3941,3834076.76159,159695.41045
270.0924__57.06,0,0,0,0,0,0,0,0,0,0,92008.12369,183820.89942
270.192__41.36,0,2299.44306,56831.73967,0,5158.24423,119805.42158,1325512.55925,2146521.88388,1077874.32661,1109295.21218,1816991.86814,982385.09106
270.7984__71.34,2280561.85228,2435907.1266,1797278.59718,1904105.19248,2718221.71909,1337685.80518,6409054.74352,5725456.87634,6321447.47061,5852960.87704,6065923.81313,7990950.02068
270.9785__113.81,3037515.59513,1157649.70637,1329685.82794,1847649.36087,2788967.53594,1726112.44506,2537200.12798,2216104.24002,2640820.21781,1913032.84461,2119066.17063,2812562.86362
271.002__32.44,0,0,0,0,0,0,5745.27116,0,4892.53431,6839.71402,9735.63114,21029.69743
271.0407__58.34,1415610.16177,1039958.58773,502994.98538,396285.29875,421992.53764,276664.13188,556912.39864,515136.35578,924649.63691,1114873.7774,2184434.25305,3642954.27907
271.0497__136.11,711579.84758,537769.57908,222600.80255,1286857.12736,160957.36398,561427.07814,1414721.99058,824270.68805,1726795.10188,899273.64855,1228146.10826,2211094.25371
271.0948__24.72,167000.94313,106100.84125,14260.62658,0,40538.50077,5069.2835,6644.91153,68577.04556,15471.09381,0,410581.17517,199745.66166
271.6591__148.56,2052914.4632,984376.28759,210889.47123,16343.69093,2907450.22355,499058.11927,3735967.84749,388319.72399,6510131.79592,513582.03518,773441.96136,6155659.91077
271.9527__118.09,453683.38163,386865.32162,515459.81112,362407.5787,837294.84763,244509.40778,1014800.60652,806489.40513,392051.45733,342678.46333,914211.15829,877940.66717
271.9779__84.52,0,0,0,0,0,0,230457.59669,75668.39896,419401.76346,285705.4648,807779.04596,1615229.92363
272.0873__58.65,0,0,0,0,0,0,0,0,33615.68823,0,417162.07762,181544.1236
272.129__23.98,0,0,0,0,0,6295.47168,0,36562.53471,0,0,0,0
272.1605__146.16,148808.78697,83540.13912,0,0,171091.7085,0,530636.22494,274377.98234,1309040.70428,53428.32537,28084.36119,673973.33395
272.6667__144.6,346537.9405,99504.50986,38813.69052,0,747005.9321,18517.51393,110546.09067,42681.44791,345356.70717,0,784183.11817,1653650.46298
272.7953__71.34,3101277.79339,3275434.93525,2505092.24303,2732974.82576,3354386.26768,2116704.13094,8575691.56061,7849004.47502,8085687.40877,7854866.44308,8372651.72345,10146314.98303
272.8631__103.77,0,0,0,0,0,0,9640.60785,0,57100.43799,0,0,124018.579
272.9563__58.24,2265696.52551,17526.89341,130287.95646,231984.89877,162180.47244,113282.7228,381663.66241,242677.88961,570160.16158,207780.54104,593668.76,1047982.02471
272.975__83.94,2293721.86674,0,0,0,0,0,408397.30479,124471.40536,7414988.13107,54803.48503,689044.09954,1105363.97141
273.0492__119.91,0,0,0,0,0,0,0,0,0,0,0,0
273.0537__96,5192554.82409,0,0,0,0,0,666967.48024,351954.64728,14711.08769,395461.26996,205685.1776,283322.46361
273.1223__144.81,781900.86178,84764.2552,15958.21288,117713.58913,636709.36364,41812.30841,347169.0623,0,1184056.28653,406159.806,0,1380615.67229
273.15__24.16,250311.99625,370769.49421,256257.21745,439449.24988,290552.88746,492261.30229,573414.83206,568292.30177,776038.30378,421151.87947,1039411.12459,827683.33005
273.1825__151.9,66930.6939,34187.92908,0,0,0,13593.33165,1452022.58038,827770.00887,1769390.76145,570685.75855,287881.76626,706562.49338
273.6659__150.86,400530.82772,316390.22397,239300.86345,674417.33815,54768.07196,254336.46914,223935.91643,722117.31939,812785.7598,502515.15327,145529.06924,217404.92556
274.1158__85.83,64716.94532,20896.13733,21019.67525,0,10377.68368,10975.94437,581045.79599,429802.55945,308350.82322,488588.59616,515629.30094,451017.30788
274.1456__151.63,38410.52293,18716.45883,0,0,0,25308.86958,144265.44894,106765.93685,31270.171,238076.79014,0,0
274.6262__150.49,14128099.02457,15393236.49278,11492573.36938,20300621.5306,17448822.40654,15735682.55073,17984278.03519,23918573.36966,13463700.02204,9126406.40911,15014483.54383,12173336.79697
274.7925__71.37,1357893.09227,1607136.18508,1237901.06962,1234887.63126,1486106.24201,859531.44478,4182271.17988,3849776.33603,4096478.63457,3842654.35566,4230241.1204,4955887.11886
274.8743__118.5,128305.47422,405407.51215,75606.12104,0,125050.89225,158670.8927,416729.62504,359196.82696,318674.2179,251729.79598,207948.77493,151797.16764
274.8822__59.72,1242982.56388,1460417.3988,1304044.78839,315848.51823,1655285.68163,1687705.04053,2585592.21649,2496965.14129,2273718.74648,2235761.60282,4338761.65918,2546383.40517
274.8822__69.25,6791426.65937,5310318.48708,5033431.86156,5351944.93765,5385882.5301,6383132.67279,9340854.93626,5297208.75075,9205342.337,5958871.18709,8143633.51141,7770099.47954
275.0444__162.37,640183.78027,2230012.45356,100295.43792,0,672462.84453,64370.2587,1797917.09257,2825944.45791,1292594.10244,1900435.06447,2304973.11459,1546297.18152
275.1037__24.08,829137.95033,284231.09045,485642.38304,304679.9997,263687.71972,1480824.0577,448812.13305,406619.98912,701978.07766,422196.38129,518173.08298,450141.96569
275.1238__108.01,831250.13679,546360.88124,894474.6638,957472.41303,684427.42527,1157732.25218,2513853.3478,1975642.71574,1257014.83069,837161.90319,1545242.22027,2122226.02319
275.1278__150.61,3228300.40636,3813626.36835,2552000.59777,5291525.10958,4333614.22645,4257772.74971,3740990.73408,6171596.17362,3155087.85874,2075025.75235,3116454.22742,2281189.25114
275.1474__42.89,14191.86287,52192.89432,130897.52126,203067.23348,22046.31975,372670.64268,930960.46011,1072512.69987,1340394.23571,921050.64874,1695450.50373,2782281.84715
275.1608__116.79,311733.13451,128077.24538,176647.51373,18395.59951,521296.43866,60686.54089,747657.30123,696616.96474,902470.7173,699086.59381,334672.8665,649868.54925
275.634__149.38,18580162.16204,20780123.14684,25478041.98977,26103048.94125,23809400.95475,22833017.92221,22949107.35407,25787757.63011,22146068.5409,21408661.92347,12542308.27462,24485212.91474
276.0576__57.83,25670.24643,0,15319.84483,0,14680.83778,9932.15754,162969.73684,84693.04079,211766.72907,90975.29898,608031.58793,341855.2695
276.1198__135.28,10741.23599,12701182.78855,9544467.30495,8133883.74329,17176868.31726,4803348.09229,15180591.2303,12318148.40927,54055771.90574,14086325.44014,38213391.80468,54289047.87086
276.1562__173.9,44866.63744,2180156.39967,219345.61748,1633398.83007,2123948.85013,539687.26689,2928981.01439,3225014.05833,11247214.94356,3436539.4396,7147710.26005,7129706.26994
276.6531__149.46,7580620.22657,6949453.04571,7128699.77333,8334288.86953,8820453.35952,7282666.64827,7812671.37608,8233622.76779,9123512.35412,9044463.83295,5794290.48759,7509288.38941
276.7897__71.34,219410.86737,164052.89879,107962.01946,102338.16501,204012.14144,94498.84273,794317.99888,783151.44704,773890.1989,809960.17423,290969.97879,914518.3153
276.8057__75.62,676555.52009,488833.18161,437991.18174,444126.1822,595598.21739,483953.20898,2528286.44037,2164414.4587,2241110.43595,1792277.89599,2478602.21724,2605776.79151
276.8722__118.5,0,59399.83112,30750.20443,0,20477.53722,0,59678.41531,0,25557.70339,35096.81728,0,16743.945
276.8792__68.93,4317124.61705,3261726.65429,4301565.15459,3433486.25553,3603810.06705,4248330.11748,6100901.2751,5402980.25022,3961377.18145,3572519.85176,6131722.0031,4682110.55026
277.0608__58.27,858365.72041,810074.01849,803812.50196,1196714.12539,1528539.71985,888437.78613,2733343.65104,1960750.36966,3662560.59082,2319833.16418,9862994.68743,6229356.11772
277.123__134.99,0,883528.60758,72597.80199,0,15921.31257,80947.05385,1286152.94753,998486.7886,5926338.30618,1120484.98462,3740993.85178,5691748.71354
277.1442__24.05,151440.10084,175373.66347,130944.31379,233869.66402,33543.81025,266765.96088,101127.44192,368796.19185,455405.38653,220505.00413,393478.0601,357675.70026
277.1547__149.29,1343940.57293,1013693.95959,1418123.64961,1201464.58696,2245124.88354,1291352.90406,1731381.12493,1419675.31199,2289069.26741,1861131.71588,330951.35983,841242.95537
277.2017__23.98,157824.9438,224979.25433,123534.01899,225343.4806,62145.24837,319894.68063,451144.89981,308651.47276,525046.75922,352419.10713,257108.05662,399292.17541
277.6561__148.53,44967.01988,42096.04413,0,0,28827.49528,19005.22961,50513.0946,40808.20424,29126.43048,36047.22094,19844.09404,0
278.0384__108.82,4400958.7863,3071605.33684,3120544.36631,4245714.95848,3495554.8742,3859175.56636,1556455.88774,1859037.01105,1544748.40307,2176737.37477,2038080.06445,2815113.22624
278.1757__77.16,669670.97763,1254669.49387,1638518.13986,1871362.91258,749518.76408,1115307.40604,748093.41173,893824.04514,881479.85573,1267210.83835,1005397.34597,1295294.25557
278.6104__106.39,1288390.29426,1676177.48969,1318259.62686,2314003.27918,1942231.11747,1693682.92289,1193381.00614,1472018.49122,1735190.67516,818491.9647,1350877.28237,2195156.39146
278.6398__149.51,76102.26811,76819.35215,26663.28042,12668.83418,70714.35169,38986.11646,93907.04619,127896.33594,122350.42503,30434.54422,14197.44966,18220.45642
278.8815__103.77,0,0,0,0,0,0,0,0,17112.50274,0,18015.68232,20391.207
278.9271__86.75,2340167.04122,0,11305.5148,0,0,0,1427196.46985,436309.27343,1109892.74729,1182540.60095,2137518.21904,1874589.14494
279.0278__56.71,7955.34076,22826.58243,0,0,0,23562.53001,82587.39685,82572.50785,110068.68861,68314.37518,67037.06301,121088.59577
279.0424__108.69,316200.51243,202289.3289,124927.93017,298028.75045,479757.52052,254091.67425,15906.38422,197898.5705,303754.82509,0,223689.74259,186285.68974
279.1604__23.98,264791.38153,228984.20548,108178.58707,208692.85597,111368.95606,160660.29184,573910.33784,466244.95996,641469.90844,387366.2883,165051.68055,527014.78463
279.171__56.73,29257.73741,86964.38269,9724.11708,0,0,244729.03586,845823.2249,66094.91729,739460.68862,1408593.23118,3560912.35667,289555.28664
279.1711__93.36,1268055.54768,3172602.78505,1409322.26998,1828916.68834,3563810.81479,5602431.72562,2965375.9871,15567083.04239,3189831.76271,5453817.07957,8013795.89143,704521.68759
279.1711__37.5,0,0,0,0,0,0,447279.21204,1364956.3375,543368.4355,882588.46202,868058.36665,24120.8937
279.6478__148.39,6195798.9132,6493819.31688,2743503.03533,6640503.62914,9061442.56309,4492027.16212,3012244.6856,4123312.36235,6348782.31652,2764062.1172,2318119.70415,5577828.94256
280.0928__190.85,878271.84662,154518.38055,0,9902.72705,620870.8685,0,158411.38271,196345.51058,507103.03325,292712.94401,193693.05218,701975.30334
280.1551__111.99,24912.64962,375578.09739,33383.29371,0,0,876398.97342,2856685.19941,860679.6893,639795.95549,503311.92977,976802.76824,2714523.32353
280.1633__24.04,2579.8005,0,8836.95702,61325.72375,0,11089.26146,33699.71559,22772.51036,10815.98496,14229.72286,14430.89263,12336.27942
280.172__148.19,4226469.10795,1545524.14957,182476.64452,1107520.59652,588670.6105,658128.55477,9845931.28391,4865916.8915,9360892.79696,3319014.44367,6372516.15416,8584494.98959
280.1742__93.22,1174972.52369,331171.97057,75683.7973,10967.7334,147613.87047,875803.83132,295634.29977,2296104.74648,296121.34523,722684.89677,995198.4496,0
280.2128__24.09,269482.03809,418819.59114,288826.74709,451739.17336,265617.67423,515105.33221,1139313.3062,550959.77348,1406485.76545,997609.25228,1485246.59638,1184547.30169
280.6554__145.52,4971809.50647,4443878.8835,1917357.81185,4159931.17838,5691408.48104,2367883.06227,2911970.86386,3116322.08361,2534471.04488,2369981.98567,2133850.82526,2674240.49108
280.8271__72.11,1564646.77223,1589752.32939,1281550.40127,1194635.20375,1510692.81335,909518.30677,4031263.15709,3959656.63354,4011593.27392,4217943.93938,4939982.91367,4514994.64257
280.924__86.55,0,0,0,0,0,0,310628.77818,48444.50891,286637.22178,211816.63259,409192.81978,324464.50991
280.9876__57.03,9037.73778,0,4050.90033,0,0,0,112932.54373,25206.46615,113726.31416,57129.00186,143029.03547,248636.14995
280.9939__143,0,0,0,0,0,0,0,0,0,0,0,0
281.0097__80.26,0,0,0,0,0,0,6850.64592,0,7515.90088,0,0,10427.26121
281.1392__23.98,121475.42807,219349.01058,155186.96937,305156.3619,176795.57362,321907.41099,510345.15994,500632.34273,568980.67681,314692.49476,424409.50761,489262.39372
281.1419__104.01,534351.42108,741819.5077,308644.8954,493096.20654,523216.0381,382726.82478,1173170.97745,837828.76348,1225936.57705,914335.56043,1350602.38041,1550124.64502
281.1516__143.62,1094063.89222,442729.13179,0,0,840048.46136,0,740352.79101,840165.35957,534487.16879,500243.6616,422665.83805,717523.85529
281.1964__31.43,3314.40831,4570.93947,0,0,0,0,2497337.33142,600394.37963,1980955.01779,2263391.46173,2348325.62333,3666418.42287
281.2677__23.71,0,0,0,0,0,0,0,0,0,0,0,0
281.6522__151.02,8185347.81684,9331335.92805,9979824.24187,9561358.81204,8270007.73654,9244002.9884,10072346.35076,13740510.98908,9327310.5764,7598402.71279,8524319.25511,10975639.57285
281.9946__116.57,13732499.59816,4471389.17907,1758449.94989,5049133.42049,3311967.17096,3695522.41526,4253345.09604,3391204.25011,6254952.22084,4117929.28749,5208664.77489,10686251.64767
282.0067__96,0,0,0,0,0,0,392319.71314,171093.15004,288668.85931,560501.31729,45658.02431,400164.02042
282.1313__152.31,7923345.4966,9331568.3796,8248648.71027,10516512.6238,12500048.96175,7596470.68753,16951860.71151,11478989.1873,6741838.55692,9919862.51748,9615836.23715,6332464.9606
282.165__145.08,785964.0467,733329.25976,710264.29307,0,245019.59261,231442.69671,236170.50222,105108.21372,183397.24427,205754.68543,326129.76153,737044.66569
282.2801__23.98,29618.64117,17233.95072,0,0,9311.33878,27195.89459,15476.98357,154740.46661,78300.30156,7237.41351,78617.46547,8360.97447
282.6331__152.47,1902696.27514,2155976.34538,1783566.10843,2075045.10473,2655516.10781,1674391.71957,4189051.18542,2733536.96959,1327197.23675,2460255.77519,2267870.98649,1241726.56583
282.6664__145.27,0,0,20286.76415,0,38375.33167,15446.77699,12385.51278,0,23348.1763,0,0,0
282.7509__78.78,26783.10048,166898.24164,73589.38289,0,20282.3247,35870.09272,1248801.44488,1337625.63348,1471776.51972,1294743.76061,2180349.91094,1834689.33426
282.8244__72.11,1456970.56054,1582627.55815,1217219.10387,1247984.53432,1487088.13502,911159.9613,4201840.37699,3929034.41961,3983057.34192,4058454.93849,5044910.90159,4405342.05024
283.0083__79.73,0,0,0,0,0,0,170388.58481,85706.57538,257773.28848,40251.69335,304263.2837,158481.62523
283.0538__114.23,623276.26056,0,0,212953.59777,0,0,271644.12178,400909.23878,592972.0042,887587.31073,454578.39876,1403624.80894
283.1401__55.32,0,0,0,0,0,90141.96623,101658.84015,73024.57013,76027.2734,86926.09093,0,66762.57136
283.1636__150.41,3025606.29696,2284131.03761,859285.15081,0,0,6567977.06181,0,0,84814.85943,0,0,1660064.11042
283.1636__144.5,9296702.07907,7230585.55022,5764309.26815,1351448.10884,124112.47938,16100696.69989,384602.59549,67536.2359,509141.12696,394116.6999,0,3109950.86432
283.2061__24.05,11296.49678,85547.38395,40866.66816,193775.58209,15934.09142,228424.86557,282705.84162,266178.18254,212225.95646,88287.74991,224447.49669,260958.16285
283.6313__158.29,361812.70778,1194740.6242,1361418.28883,970133.25196,1986567.06523,1173919.34536,2861902.46652,2735603.11003,1864565.58593,2165230.50599,2517734.55521,1757102.9363
283.6591__144.33,289320.19519,38931.78378,44321.16053,112900.57295,459918.87168,74420.07038,25424.49525,0,47707.10292,0,479146.07053,1823350.17539
283.9948__59.6,219208.67522,146386.00341,20965.54105,0,0,20334.4459,776476.48527,166420.49295,592484.49086,311504.57613,780753.07557,1342915.24639
284.1669__144.32,921866.15526,475018.91404,351229.4768,0,0,1884856.76928,25442.4885,0,0,0,0,154398.67735
284.1863__107.43,0,0,0,0,0,0,0,16228.76812,0,0,0,0
284.2075__37.26,2998.8624,10550.53295,25021.28901,0,2023.1418,35322.60058,2831234.72387,1710209.11265,2148698.56772,2116508.17277,3864575.1435,3186425.63795
284.6397__148.79,401962.61557,1161574.8946,1156109.45094,1111237.95657,863796.87628,854129.72634,1097911.59566,2028673.98235,766707.64291,1389890.63911,103321.57115,297365.05893
284.9104__71.6,2838811.63128,2591756.73814,2502936.12715,2678675.36806,2630825.0871,172925.1786,3842679.46468,3218419.19916,1507759.53203,3304527.66791,6045404.80934,1846620.58158
284.9108__101.07,795251.76483,677021.85427,656931.23271,0,102748.03071,174888.69596,729960.24792,1895263.48722,1224116.53683,1775126.056,317027.21628,1139345.58523
284.9109__113.06,1731953.78029,1377236.04921,973279.66587,0,2429232.68888,2539364.51949,2756555.65255,2011580.27428,2598497.76911,1282168.92398,4107818.50183,2711767.1351
285.0064__80,0,12125.35103,0,0,15265.57597,0,284006.15991,80551.0766,344482.10609,157421.45846,471036.98507,415829.45764
285.0704__191.04,0,0,0,0,27372.77426,0,29222.5379,34450.64381,213431.61601,12585.71317,0,119151.2659
285.1007__117.27,186199.61804,311871.75349,0,2489172.44506,2693099.28306,2773401.62526,37916312.10854,27982058.28945,2913788.51603,1661616.08609,1660860.98624,4549295.33167
285.2107__37.14,0,0,0,0,0,0,342081.66205,165972.25722,222616.50429,226335.74903,445135.77038,359312.08239
285.7076__112.97,0,8192.01266,0,0,0,0,165052.23892,234863.30372,246894.45647,210080.5098,150287.91478,98595.38621
285.9037__86.25,0,0,0,0,0,0,792989.56974,252295.64188,698173.91783,990334.25947,864237.38491,1164702.34796
285.9786__117.24,2237419.96462,2161644.88766,2319132.45197,1818542.22331,2668240.45356,1580454.28771,1501228.95818,1747283.13565,2203180.24067,0,1250015.41732,1956017.01588
286.1444__23.92,9126.55395,252584.34579,14625.38877,332398.24215,129911.10242,2270005.59848,193337.08561,4830776.13325,49244.63474,5011.40883,49824.5946,358477.10106
286.202__60.6,0,0,0,0,0,5972.89536,4613699.28095,5495855.49964,2952855.79102,1261104.72637,1853842.39243,1566549.84533
286.202__105.6,1563727.7191,1383518.8074,1791092.99584,4792924.75206,1513906.36832,3636747.62894,2984087.41203,3778185.29213,2116642.45394,823777.9179,2132108.9234,3291492.70371
286.6261__155.09,14526033.54666,17402352.96436,7882650.30823,15127649.8187,12851140.36793,11373615.39924,10593068.94452,13637027.08772,10298960.80803,4640645.56614,6053528.54082,10504472.96986
286.7722__72.23,391456.50817,562385.42062,314409.58543,339463.15682,435718.29138,203824.70656,3560518.76739,3026464.09241,3286823.66206,3221406.12303,3668535.97729,3656062.37837
286.8345__77,192694.78348,204681.0374,184664.24012,0,45713.22877,169006.09362,1653908.0666,1335304.48187,1417547.64469,1030538.52967,1395006.53795,1443426.8882
287.0113__116.42,276882.49613,204248.57882,468182.48129,680034.6501,694609.26749,523364.09675,2613838.80177,1889671.63688,1061094.55575,498532.69053,795486.26644,1540811.47483
287.1282__154.99,3854958.20803,3820895.8749,2206255.44816,3914485.17434,3417483.73413,2965976.16599,2395632.79066,3714135.09349,6415136.59644,1057394.72348,1458128.7556,2804936.7368
287.1478__24.05,0,206097.95214,163174.77739,281738.73187,177329.37566,424729.78549,412169.39539,901662.18807,491163.02418,245053.15702,379991.56187,319611.88323
287.1521__143.5,195502.02072,158811.36796,69155.73551,0,11766.75724,2855983.02805,411219.53786,410467.8798,509575.63588,458546.08283,361357.45695,780227.9617
287.2052__107.82,55906.18401,76373.06256,355532.27677,587747.68322,456987.52648,409392.91376,305602.50006,136857.9391,44636.74691,0,29398.92246,209239.27442
287.6341__148.29,82780413.63489,101240202.49132,57655334.01033,110074821.15285,126792926.5891,77063498.91695,62058356.38025,74697305.82879,83693134.14509,38059304.33487,56078242.28311,106696998.88365
287.8896__158.41,8968319.3072,7793635.39081,7028037.42064,12136016.72941,8326801.37802,15095758.58897,9313602.16014,8692540.08423,6693347.35518,4718483.84086,6442386.99616,5938641.27785
287.8897__94.43,477168.2374,373120.15508,254506.99179,0,17072.12869,247592.12256,2492717.43055,1445948.59448,1264022.18121,965270.779,1762677.22573,2330896.78837
287.8897__201.04,50687275.43289,66504444.06306,76901309.48995,42924069.83753,63084562.12724,123193286.60545,45142714.07493,119606839.74021,106083043.55246,44062420.82652,49068754.68872,53403955.91785
287.9808__91.91,1574246.76118,9034.9758,0,0,10439.86517,0,3103456.45477,259987.14342,1843575.68029,596318.61696,1850501.49484,3978061.19655
287.994__108.26,420839.86758,272010.24944,460320.43418,517717.19648,358192.169,501167.94259,246696.87368,110528.0702,241442.02641,374085.01424,59180.55891,173479.52558
288.1043__30.87,0,0,0,0,0,0,14324.54327,0,3017.28268,3368.98163,13883.30871,52554.03606
288.1357__148.07,23812592.947,28241261.97887,15718800.89177,30437525.41744,35034340.75079,21717952.50115,17438483.75211,20919108.30288,24690352.04015,10617925.18194,15298954.13187,28714932.38976
288.1517__23.49,0,0,0,0,0,0,0,28455.68133,0,0,0,0
288.2176__59.6,0,28605.13638,4209.17506,0,0,8670.19224,2145229.28729,2320333.1668,3003323.43949,1274163.65637,4143578.19578,2884996.88985
288.2177__103.51,1210699.31646,2177858.53342,3365094.79722,4541170.3017,2443163.07628,2491938.56237,1502251.76223,1525946.7647,2274833.22197,926601.86698,3606190.38346,4248281.95754
288.254__24.08,0,0,0,0,0,0,0,7844.62462,48464.37154,24062.4239,0,0
288.6416__145.99,80079907.08868,81951115.22982,59247428.39402,87392980.25123,105587589.3037,65008659.78762,73848920.05987,81647449.61561,85907513.57641,56373453.45558,78151830.13053,85627739.56849
288.7693__72.32,631459.4857,750815.65392,491206.41589,580192.54045,552865.33896,127004.45022,4921930.20213,4035870.10048,4603341.13821,4501589.02547,4625225.08285,4971856.23317
288.8791__104.43,8630.44045,298945.5835,0,0,15056.29221,0,201872.10796,214793.828,272539.72302,51640.20911,484461.01887,614029.18449
289.1391__106.27,1081944.79788,664025.99797,975867.57662,1138469.93668,746717.78853,1329157.13316,2438376.17127,2609840.6235,1590459.18366,879284.40727,1632736.26163,2648649.59511
289.1441__148.08,21685729.97409,22209697.67831,16574048.65396,24960117.54019,28399721.66372,19329664.32691,37752588.33034,22745472.27135,1883446.11304,19772139.48623,22928295.84134,32719713.41715
289.1629__37.79,0,4716.37285,13840.96491,0,42578.24808,50052.26825,596788.60456,462582.81744,969268.61171,588597.58833,1317628.30842,2190382.1061
289.1924__58.13,169023.59973,102348.423,73204.59722,80730.33784,126172.94863,0,220078.13363,119677.68168,383855.76295,123718.36751,531759.47719,198489.63713
289.221__103.6,18328.65895,264137.52947,401652.69719,556703.36415,266867.85332,317758.19543,10759.74406,148014.05958,306113.18908,0,448517.71096,524751.49954
289.641__106.68,186943.1173,109024.14783,78806.29906,217518.32148,37528.99006,311879.94769,605257.7522,566746.98995,362755.63819,178697.93806,415652.45845,622218.78923
289.6501__146.66,5888456.25737,6333120.59682,8692184.8717,10086795.97167,8505125.42154,8005984.06779,13417317.45337,10447532.60189,3642409.69983,8752444.64753,6014187.98052,4932281.32823
289.9318__57.98,376616.98985,0,0,0,146720.60264,0,8444.3857,0,101456.79807,3948.40381,12720.45126,266353.50321
290.1518__144.65,1352872.46644,364478.16889,2085885.78916,2640870.19633,2247290.41214,1862665.77378,4554239.22437,2919630.09321,4502324.40266,2468378.97828,1231417.69307,2472245.41556
290.6105__105.78,343767.08947,528154.41199,758525.90385,1194273.98068,658644.47003,1098737.39385,968686.55353,1656620.66506,1354138.19202,965756.94828,1388092.36197,1752947.5657
290.6685__145.57,1477643.28203,1242358.50334,1182278.97935,1578145.1923,2113233.24093,1207450.98298,1359395.98171,632090.06943,2017053.98286,745654.12569,800090.81955,1795376.28481
290.7665__72.23,215022.5787,292066.60193,220140.67391,215285.05062,252724.07593,43194.66493,2486473.13575,2130692.53453,2465390.02134,2194747.29805,2517249.82998,2600292.71095
290.8482__119.23,0,0,0,0,0,0,0,0,0,0,0,0
290.8562__72.83,565809.24528,568804.36061,458434.31382,402219.95289,507971.73361,265338.06787,2004757.90392,1902822.20009,1945058.2825,2036872.04204,3009821.40146,2296738.95179
290.8768__103.89,0,40834.85282,6804.87114,0,0,0,703652.94517,116280.40183,967613.38682,285820.2202,688234.36804,743997.54544
291.0706__57.54,0,0,166407.15967,727592.92978,276696.74202,80751.7588,190083.89222,86525.58479,84486.7618,136687.36036,1269879.4457,138143.12428
291.1119__106.35,23303.76072,83076.33801,43791.99764,232905.66651,7268.44708,20043.95347,291918.55321,509458.13907,349793.851,214804.10399,273083.71808,538418.45047
291.1607__23.94,0,0,52895.45689,167872.01215,72729.06792,160276.55384,219853.80856,0,274794.316,0,0,195014.06687
291.1705__145.89,156833.39083,143048.52654,102417.94322,0,128848.64793,90952.90796,49725.36404,35909.71568,118730.7371,114176.83823,121539.57534,152135.37832
291.6479__144.81,1055249.41009,803258.51962,897586.0547,1112383.25362,1616019.78069,730016.06842,90648.07806,306702.91427,251404.51982,211826.90608,622039.55801,840712.63975
291.9074__102.49,0,0,0,0,0,0,1315888.6762,39146.73515,1617036.90225,131854.38541,720300.4048,2058137.39378
291.9139__89.61,9804217.43136,9443398.48484,5176184.00804,10104238.72508,4817783.96213,9738965.63037,29302.55284,1657905.22174,205786.26669,61798.58171,0,42842.2887
292.074__57.63,0,0,0,0,0,0,0,0,0,6731.50399,43751.27637,167663.72829
292.1493__145.8,81085.13588,44821.41807,52353.9399,39095.83637,178461.32977,143550.0558,0,0,60994.61357,34898.55874,88524.06617,107128.09279
292.1639__91.38,6185953.87418,5800578.13678,6059960.59333,300973.24925,5534715.1717,5030839.28325,7575250.42069,6466068.9601,7094999.97522,6531192.43821,7467081.47221,9260557.1453
292.1643__24.78,349950.67851,218774.81668,75446.17577,541310.06676,471069.46673,444041.35856,187729.98981,166717.55876,197093.18987,113166.6638,357056.09948,249670.28378
292.1987__162.63,151604.20733,325094.00576,6561784.11245,0,647492.33499,6961948.12019,1977758.90839,2037229.71458,6975307.70723,3526010.2212,1263674.65523,11790214.10103
292.6556__145.71,208932.89739,292648.75379,62950.74448,101711.49578,880535.41817,222975.88245,60689.11665,28762.73069,24847.02788,97911.32736,232711.3807,0
292.7715__75.45,0,0,0,0,0,0,1378369.08056,511612.81646,1180279.32883,1032564.98565,1556551.2435,1261125.96109
292.8532__72.68,283394.19441,326251.7082,238559.94462,220035.42237,261372.76291,153771.91553,1503508.55073,1187659.3355,1288192.76054,1327636.03722,1935899.84052,1361239.21717
292.9141__89.89,9419587.06658,5507089.95644,9182118.27697,5358714.28383,10636217.91217,7595299.58866,28084.13242,1121912.6194,90286.53607,22792.28509,0,0
293.075__57.49,0,7244.66194,16471.67269,0,0,11954.31321,229089.19531,177836.61882,130404.92115,97918.95748,250984.53352,387599.25507
293.0987__132.09,22879.46293,0,0,0,0,0,0,0,0,0,0,0
293.0987__180.83,11815183.23195,102119.66854,0,0,75174.5998,0,0,0,9875.6707,0,0,0
293.0988__221.01,3747116.97578,1239784.30854,274994.45504,0,398261.83466,186665.46418,105067.11382,51350.79227,10378.80194,0,12692.32053,0
293.1572__144.29,18170.81453,0,0,0,54272.80612,0,0,1888609.77861,0,0,42359.01046,33664.77093
