Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
264.1328__24.43,8180.99114,4446.02772,11457.22535,16812.09349,3418.80923,93449.24014,44868.29661,8891.451,7901.69467,3947.01752,112561.33896,0
264.6345__24.23,0,0,0,0,0,0,0,0,0,0,0,0
264.7796__73.96,512601.79451,307094.99266,10365.2515,187145.47698,0,260691.69189,2888348.43349,2109255.23041,2645934.26785,973780.05,1287924.99528,1552416.22753
264.8451__74.82,0,7794.43036,0,0,0,0,142576.65034,90913.24651,85286.04145,169760.77681,182478.11224,133435.70155
264.8531__63.56,23436926.614,22542423.83196,19731676.82741,20964330.58371,9865371.28954,19247382.49631,28689983.3395,27881972.90304,31725971.11275,29386883.75529,31664914.83391,31910363.44014
265.0134__57.21,167198.89335,157103.43183,15116.96431,201519.77899,294255.74891,185308.16777,522976.94213,254845.65836,591375.00614,507223.3909,513644.47131,211907.45934
265.0157__162.43,594182.30113,1447953.4239,388172.34143,0,34686.72991,397388.20746,1760291.60909,2771985.59089,1491132.01448,2581619.00298,2062323.88891,2298309.70281
265.0163__141.37,0,0,0,0,0,0,0,0,0,0,0,0
265.0356__80.51,0,7947.90828,0,0,0,0,775646.4322,259054.47643,628762.31684,1064446.28104,643437.00554,1347179.92164
265.119__25.71,258746.67446,403400.95081,229279.61715,489236.39452,275371.97825,498595.30503,17955118.21381,3081065.31682,4539042.38779,8829244.09818,7298013.83321,16277970.60198
265.1553__96.7,486783.14678,2235477.42547,797983.7067,233902.11801,1799353.79973,1431770.7158,815651.14216,8831031.17893,1795326.49058,4311705.52951,5926820.90831,160842.91089
265.2128__118.26,28649.78011,42971.83924,88080.27629,0,51130.84176,17732.86786,997449.61404,525713.82491,1019311.25776,861283.0223,469144.15442,857792.28201
266.0853__95.38,0,176399.33344,0,0,0,0,561393.38267,1172997.35424,379271.08728,488692.4035,719153.64707,0
266.1227__25.1,0,366969.73137,250200.62088,426004.00886,0,455142.22315,1346172.03672,706908.62498,1529550.93992,1054955.21116,1662941.97206,1262278.76804
266.6103__107.65,1119840.97643,1289228.83943,453380.77215,1489301.41753,1703701.19585,1141225.65594,2046034.48749,2017307.26314,2902618.80449,631193.89009,772890.27373,2398861.80532
266.6401__150.73,421705.21257,400624.42486,108284.20153,571630.5172,161781.42087,242311.40439,601555.38879,1096263.74117,439766.27011,393842.20522,178307.85959,131446.61514
266.7769__76.32,801964.15635,476210.9669,667715.42831,0,625729.84608,240197.93606,3884374.90591,1941558.18344,3860971.88181,2780517.42081,4037714.72328,3702196.06553
266.8505__63.94,22277076.34081,20692039.24483,18810284.12644,20039687.64818,12288368.11121,18459659.84484,27916297.54526,26670834.623,28495999.96042,27254367.40147,31048676.26035,29696812.52539
267.0782__93.85,0,0,12211.50221,0,0,0,714305.43065,675308.02084,243620.65764,283836.38795,237152.22412,372892.4871
